Humid,Temp,Condition
31.0987,28.8693,0
29.2347,28.944,0
30.084,28.8733,0
28.608,28.72,0
28.296,28.5307,0
27.964,28.3467,0
27.5333,28.1027,0
27.4867,27.8893,0
27.172,27.6827,0
27.2813,27.44,0
27.1467,27.224,0
27.684,27.0333,0
27.4787,26.8507,0
27.7,26.64,0
27.62,26.4427,0
27.8053,26.2413,0
27.944,26.0227,0
28.2067,25.804,0
28.5093,25.5733,0
29.112,25.3147,0
29.9587,25.088,0
30.3307,24.904,0
30.3493,24.7293,0
30.5773,24.536,0
30.98,24.332,0
31.6147,24.1187,0
32.3693,23.9293,0
32.9173,23.7653,0
33.516,23.572,0
33.9787,23.3733,0
34.1573,23.1867,0
34.2507,23.036,0
34.2493,22.908,0
34.5133,22.8053,0
34.8533,22.6867,0
35.268,22.5427,0
35.7733,22.3507,0
36.548,22.1493,0
37.4173,21.9387,0
38.0267,21.748,1
38.6147,21.5573,1
39.3627,21.372,1
39.7307,21.1827,1
40.3493,20.9947,1
40.828,20.8133,1
41.112,20.6773,1
41.2587,20.5347,1
40.4893,20.4733,1
39.7387,20.364,1
38.8133,20.2393,1
37.7813,20.1153,1
37.3053,19.99,1
36.964,19.8733,1
36.5867,19.742,1
36.3533,19.5673,1
36.3093,19.4053,1
36.3413,19.268,1
37.1693,19.0453,1
37.4013,18.858,1
38.048,18.68,1
38.972,18.586,1
40.1213,18.57,1
39.136,18.636,1
38.0733,18.72,1
37.6627,18.8487,1
37.0853,19.0407,1
36.3907,19.264,1
35.6827,19.4973,1
35.2787,19.8573,1
34.708,20.268,1
34.2427,20.6493,1
33.6613,20.864,1
33.42,21.1893,1
32.4947,21.6467,1
32.28,21.9387,1
33.6107,22.464,0
33.6213,22.856,0
33.6733,23.2093,0
33.4947,23.5533,0
33.7093,23.8707,0
33.6307,24.104,0
33.096,24.2747,0
32.552,24.548,0
31.7587,24.808,0
31.7813,24.9747,0
32.7187,25.036,0
32.504,24.9,0
32.952,24.888,0
32.8213,25.004,0
34.56,25.056,0
